minerID,power,rewards_gained,main_blocks_created,uncle_blocks_created
m0,1,0.000000,0.000000,0.000000
m1,1,0.000000,0.000000,0.000000
m2,1,0.000000,0.000000,0.000000
m3,1,0.000000,0.000000,0.000000
m4,2,0.000000,0.000000,0.000000
m5,2,0.000000,0.000000,0.000000
m6,2,0.000000,0.000000,0.000000
m7,3,0.000000,0.000000,0.000000
m8,4,0.000000,0.000000,0.000000
m9,5,0.000000,0.000000,0.000000
m10,6,0.000000,0.000000,0.000000
m11,7,0.000000,0.000000,0.000000
m12,8,0.000000,0.000000,0.000000
m13,10,0.000000,0.000000,0.000000
m14,12,0.000000,0.000000,0.000000
m15,15,0.000000,0.000000,0.000000
m16,18,0.000000,0.000000,0.000000
m17,22,0.000000,0.000000,0.000000
m18,26,0.000000,0.000000,0.000000
m19,31,0.000000,0.000000,0.000000
m20,38,0.000000,0.000000,0.000000
m21,46,0.000000,0.000000,0.000000
m22,55,0.000000,0.000000,0.000000
m23,66,0.000000,0.000000,0.000000
m24,79,0.000000,0.000000,0.000000
m25,95,0.000000,0.000000,0.000000
m26,114,0.000000,0.000000,0.000000
m27,137,0.000000,0.000000,0.000000
m28,164,0.000000,0.000000,0.000000
m29,197,0.000000,0.000000,0.000000
m30,237,0.000000,0.000000,0.000000
m31,284,0.000000,0.000000,0.000000
m32,341,0.000000,0.000000,0.000000
m33,410,0.000000,0.000000,0.000000
m34,492,0.000000,0.000000,0.000000
m35,590,0.000000,0.000000,0.000000
m36,708,0.000000,0.000000,0.000000
m37,850,0.000000,0.000000,0.000000
m38,1020,0.000000,0.000000,0.000000
m39,1224,0.000000,0.000000,0.000000
m40,1469,0.000000,0.000000,0.000000
m41,1763,0.000000,0.000000,0.000000
m42,2116,0.000000,0.000000,0.000000
m43,2539,0.000000,0.000000,0.000000
m44,3047,0.000000,0.000000,0.000000
m45,3657,0.000000,0.000000,0.000000
m46,4388,0.000000,0.000000,0.000000
m47,5266,0.000000,0.000000,0.000000
m48,6319,0.000000,0.000000,0.000000
m49,7583,0.000000,0.000000,0.000000
m50,9100,0.000000,0.000000,0.000000
m51,10920,0.000000,0.000000,0.000000
m52,13104,0.000000,0.000000,0.000000
m53,15725,5255.000000,1.000000,0.000000
m54,18870,0.000000,0.000000,0.000000
m55,22644,0.000000,0.000000,0.000000
m56,27173,0.000000,0.000000,0.000000
m57,32608,0.000000,0.000000,0.000000
m58,39130,0.000000,0.000000,1.000000
m59,46956,0.000000,0.000000,0.000000
m60,56347,0.000000,0.000000,0.000000
m61,67617,0.000000,0.000000,0.000000
m62,81140,5714.285714,0.000000,2.000000
m63,97368,5973.000000,1.000000,0.000000
m64,116842,5417.000000,1.000000,0.000000
m65,140210,5386.000000,1.000000,0.000000
m66,168252,5848.000000,1.000000,0.000000
m67,201903,11067.714286,1.000000,1.000000
m68,242283,20028.428571,3.000000,1.000000
m69,290740,19130.428571,2.000000,3.000000
m70,348888,27955.714286,4.000000,1.000000
m71,418666,20259.714286,3.000000,1.000000
m72,502400,27727.285714,4.000000,3.000000
m73,602880,49149.714286,8.000000,1.000000
m74,723456,48616.000000,8.000000,0.000000
m75,868147,55494.428571,8.000000,3.000000
m76,1041776,31824.714286,5.000000,3.000000
m77,1250132,63540.857143,10.000000,2.000000
m78,1500158,64229.142857,8.000000,5.000000
m79,1800190,64370.142857,6.000000,8.000000
m80,2160228,102729.000000,11.000000,15.000000
m81,2592274,118644.857143,19.000000,6.000000
m82,3110728,157154.428571,26.000000,3.000000
m83,3732874,145181.714286,21.000000,8.000000
m84,4479449,198457.714286,33.000000,5.000000
m85,5375339,206631.000000,28.000000,12.000000
m86,6450407,327518.285714,50.000000,13.000000
m87,7740489,400888.428571,65.000000,9.000000
m88,9288586,461345.142857,70.000000,21.000000
m89,11146304,482189.142857,75.000000,19.000000
m90,13375565,666199.857143,92.000000,38.000000
m91,16050678,663012.857143,107.000000,18.000000
m92,19260813,884110.714286,132.000000,45.000000
m93,23112976,988810.714286,149.000000,38.000000
m94,27735572,1233317.714286,183.000000,64.000000
m95,33282686,1566911.857143,251.000000,46.000000
m96,39939223,1998267.571429,296.000000,104.000000
m97,47927068,2443876.428571,375.000000,88.000000
m98,57512482,2491574.571429,386.000000,96.000000
m99,69014978,3438219.285714,547.000000,102.000000
minerID,power,rewards_gained,main_blocks_created,uncle_blocks_created
m0,1,0.000000,0.000000,0.000000
m1,1,0.000000,0.000000,0.000000
m2,1,0.000000,0.000000,0.000000
m3,1,0.000000,0.000000,0.000000
m4,2,0.000000,0.000000,0.000000
m5,2,0.000000,0.000000,0.000000
m6,2,0.000000,0.000000,0.000000
m7,3,0.000000,0.000000,0.000000
m8,4,0.000000,0.000000,0.000000
m9,5,0.000000,0.000000,0.000000
m10,6,0.000000,0.000000,0.000000
m11,7,0.000000,0.000000,0.000000
m12,8,0.000000,0.000000,0.000000
m13,10,0.000000,0.000000,0.000000
m14,12,0.000000,0.000000,0.000000
m15,15,0.000000,0.000000,0.000000
m16,18,0.000000,0.000000,0.000000
m17,22,0.000000,0.000000,0.000000
m18,26,0.000000,0.000000,0.000000
m19,31,0.000000,0.000000,0.000000
m20,38,0.000000,0.000000,0.000000
m21,46,0.000000,0.000000,0.000000
m22,55,0.000000,0.000000,0.000000
m23,66,0.000000,0.000000,0.000000
m24,79,0.000000,0.000000,0.000000
m25,95,0.000000,0.000000,0.000000
m26,114,0.000000,0.000000,0.000000
m27,137,0.000000,0.000000,0.000000
m28,164,0.000000,0.000000,0.000000
m29,197,0.000000,0.000000,0.000000
m30,237,0.000000,0.000000,0.000000
m31,284,0.000000,0.000000,0.000000
m32,341,0.000000,0.000000,0.000000
m33,410,0.000000,0.000000,0.000000
m34,492,0.000000,0.000000,0.000000
m35,590,0.000000,0.000000,0.000000
m36,708,0.000000,0.000000,0.000000
m37,850,0.000000,0.000000,0.000000
m38,1020,0.000000,0.000000,0.000000
m39,1224,0.000000,0.000000,0.000000
m40,1469,0.000000,0.000000,0.000000
m41,1763,0.000000,0.000000,0.000000
m42,2116,0.000000,0.000000,0.000000
m43,2539,0.000000,0.000000,0.000000
m44,3047,0.000000,0.000000,0.000000
m45,3657,0.000000,0.000000,0.000000
m46,4388,0.000000,0.000000,0.000000
m47,5266,0.000000,0.000000,0.000000
m48,6319,0.000000,0.000000,0.000000
m49,7583,0.000000,0.000000,0.000000
m50,9100,0.000000,0.000000,0.000000
m51,10920,0.000000,0.000000,0.000000
m52,13104,0.000000,0.000000,0.000000
m53,15725,0.000000,0.000000,0.000000
m54,18870,0.000000,0.000000,0.000000
m55,22644,0.000000,0.000000,0.000000
m56,27173,0.000000,0.000000,0.000000
m57,32608,0.000000,0.000000,0.000000
m58,39130,3571.428571,0.000000,1.000000
m59,46956,0.000000,0.000000,0.000000
m60,56347,0.000000,0.000000,0.000000
m61,67617,5333.000000,1.000000,0.000000
m62,81140,5813.000000,1.000000,0.000000
m63,97368,5737.000000,1.000000,1.000000
m64,116842,4285.714286,0.000000,1.000000
m65,140210,5976.000000,1.000000,0.000000
m66,168252,4285.714286,0.000000,2.000000
m67,201903,0.000000,0.000000,0.000000
m68,242283,0.000000,0.000000,0.000000
m69,290740,25357.857143,3.000000,2.000000
m70,348888,28273.000000,5.000000,1.000000
m71,418666,18589.000000,3.000000,0.000000
m72,502400,11583.000000,2.000000,0.000000
m73,602880,27657.000000,5.000000,0.000000
m74,723456,25773.714286,4.000000,1.000000
m75,868147,34101.000000,6.000000,0.000000
m76,1041776,39715.428571,3.000000,8.000000
m77,1250132,57961.428571,8.000000,4.000000
m78,1500158,64964.428571,8.000000,5.000000
m79,1800190,101297.571429,17.000000,3.000000
m80,2160228,104034.428571,17.000000,2.000000
m81,2592274,119451.000000,20.000000,0.000000
m82,3110728,124410.571429,19.000000,7.000000
m83,3732874,189772.285714,28.000000,9.000000
m84,4479449,225096.285714,32.000000,12.000000
m85,5375339,324451.571429,43.000000,25.000000
m86,6450407,309865.571429,46.000000,13.000000
m87,7740489,403587.428571,59.000000,22.000000
m88,9288586,463210.428571,71.000000,15.000000
m89,11146304,459571.000000,67.000000,22.000000
m90,13375565,648357.857143,98.000000,28.000000
m91,16050678,818252.428571,124.000000,36.000000
m92,19260813,852602.857143,131.000000,30.000000
m93,23112976,1185269.142857,196.000000,26.000000
m94,27735572,1171500.285714,185.000000,38.000000
m95,33282686,1833098.142857,295.000000,48.000000
m96,39939223,1845535.857143,273.000000,88.000000
m97,47927068,1853319.000000,264.000000,121.000000
m98,57512482,2865535.428571,459.000000,92.000000
m99,69014978,3380344.285714,559.000000,85.000000
minerID,power,rewards_gained,main_blocks_created,uncle_blocks_created
m0,1,0.000000,0.000000,0.000000
m1,1,0.000000,0.000000,0.000000
m2,1,0.000000,0.000000,0.000000
m3,1,0.000000,0.000000,0.000000
m4,2,0.000000,0.000000,0.000000
m5,2,0.000000,0.000000,0.000000
m6,2,0.000000,0.000000,0.000000
m7,3,0.000000,0.000000,0.000000
m8,4,0.000000,0.000000,0.000000
m9,5,0.000000,0.000000,0.000000
m10,6,0.000000,0.000000,0.000000
m11,7,0.000000,0.000000,0.000000
m12,8,0.000000,0.000000,0.000000
m13,10,0.000000,0.000000,0.000000
m14,12,0.000000,0.000000,0.000000
m15,15,0.000000,0.000000,0.000000
m16,18,0.000000,0.000000,0.000000
m17,22,0.000000,0.000000,0.000000
m18,26,0.000000,0.000000,0.000000
m19,31,0.000000,0.000000,0.000000
m20,38,0.000000,0.000000,0.000000
m21,46,0.000000,0.000000,0.000000
m22,55,0.000000,0.000000,0.000000
m23,66,0.000000,0.000000,0.000000
m24,79,0.000000,0.000000,0.000000
m25,95,0.000000,0.000000,0.000000
m26,114,0.000000,0.000000,0.000000
m27,137,0.000000,0.000000,0.000000
m28,164,0.000000,0.000000,0.000000
m29,197,0.000000,0.000000,0.000000
m30,237,0.000000,0.000000,0.000000
m31,284,0.000000,0.000000,0.000000
m32,341,0.000000,0.000000,0.000000
m33,410,0.000000,0.000000,0.000000
m34,492,0.000000,0.000000,0.000000
m35,590,0.000000,0.000000,0.000000
m36,708,0.000000,0.000000,0.000000
m37,850,0.000000,0.000000,0.000000
m38,1020,0.000000,0.000000,0.000000
m39,1224,0.000000,0.000000,0.000000
m40,1469,0.000000,0.000000,0.000000
m41,1763,0.000000,0.000000,0.000000
m42,2116,0.000000,0.000000,0.000000
m43,2539,0.000000,0.000000,0.000000
